,boat_id,Country,boat_type,year,Boat_Make,model,model_type,length_overall,yield_length,beam,draft,height,hull,engine,hp,weight,fuel_type,boat_image,active
43,4354,Sweden,Power,2004,Albin Marine,TOURNAMENT EXPRESS 31,INBD,33,,12.33333333,,,FG,2,380.0,14000,Gasoline,,
44,4355,Sweden,Power,2004,Albin Marine,TOURNAMENT EXPRESS 31,INBD,33,,12.33333333,,,FG,2,370.0,14000,Diesel,,
45,4356,Sweden,Power,2004,Albin Marine,TOURNAMENT EXPRESS 31,INBD,33,,12.33333333,,,FG,1,450.0,14000,Diesel,,
46,4357,Sweden,Power,2004,Albin Marine,COMMAND BRIDGE 35,INBD,37,,12.25,,,FG,1,370.0,15000,Diesel,,
47,4358,Sweden,Power,2004,Albin Marine,EXPRESS TRAWLER,INBD,37,,12.75,,,FG,1,450.0,20000,Diesel,,
48,4359,Sweden,Power,2004,Albin Marine,EXPRESS TRAWLER,INBD,37,,12.75,,,FG,2,330.0,20000,Diesel,,
49,4360,Sweden,Power,2004,Albin Marine,SPORTFISH CONVERTIBLE,INBD,37,,12.33333333,,,FG,2,370.0,18000,Diesel,,
50,4361,Sweden,Power,2004,Albin Marine,SPORTFISH CONVERTIBLE,INBD,37,,12.33333333,,,FG,1,450.0,18000,Diesel,,
51,4362,Sweden,Power,2004,Albin Marine,SPORTFISH CONVERTIBLE,INBD,37,,12.33333333,,,FG,2,380.0,18000,Gasoline,,
52,4363,Sweden,Power,2004,Albin Marine,TOURNAMENT EXPRESS 35,INBD,37,,12.33333333,,,FG,2,370.0,18000,Diesel,,
53,4364,Sweden,Power,2004,Albin Marine,TOURNAMENT EXPRESS 35,INBD,37,,12.33333333,,,FG,2,380.0,18000,Gasoline,,
54,4365,Sweden,Power,2004,Albin Marine,TOURNAMENT EXPRESS 35,INBD,37,,12.33333333,,,FG,1,450.0,18000,Diesel,,
55,4366,Sweden,Power,2004,Albin Marine,COMMAND BRIDGE 45,INBD,48,,16.0,,,FG,2,480.0,36000,Diesel,,
56,4367,Sweden,Power,2003,Albin Marine,GATSBY EDITION 28,INBD,30,,10.0,,,FG,1,330.0,7500,Diesel,,
57,4368,Sweden,Power,2003,Albin Marine,GATSBY EDITION 28,INBD,30,,10.0,,,FG,1,380.0,7500,Gasoline,,
58,4369,Sweden,Power,2003,Albin Marine,TOURNAMENT EXPRESS 28,INBD,30,,10.0,,,FG,1,330.0,7500,Diesel,,
59,4370,Sweden,Power,2003,Albin Marine,TOURNAMENT EXPRESS 28,INBD,30,,10.0,,,FG,1,380.0,7500,Gasoline,,
60,4371,Sweden,Power,2003,Albin Marine,FAMILY CRUISER 30,INBD,31,,10.0,,,FG,1,315.0,9800,Diesel,,
61,4372,Sweden,Power,2003,Albin Marine,TOURNAMENT EXPRESS 31,INBD,33,,12.33333333,,,FG,1,450.0,14000,Diesel,,
62,4373,Sweden,Power,2003,Albin Marine,TOURNAMENT EXPRESS 31,INBD,33,,12.33333333,,,FG,2,370.0,14000,Diesel,,
63,4374,Sweden,Power,2003,Albin Marine,TOURNAMENT EXPRESS 31,INBD,33,,12.33333333,,,FG,2,380.0,14000,Gasoline,,
64,4375,Sweden,Power,2003,Albin Marine,COMMAND BRIDGE 32 + 2,INBD,37,,12.25,,,FG,1,370.0,15000,Diesel,,
65,4376,Sweden,Power,2003,Albin Marine,EXPRESS TRAWLER,INBD,37,,12.75,,,FG,1,450.0,20000,Diesel,,
66,4377,Sweden,Power,2003,Albin Marine,EXPRESS TRAWLER,INBD,37,,12.75,,,FG,2,330.0,20000,Diesel,,
67,4378,Sweden,Power,2003,Albin Marine,SPORTFISH CONVERTIBLE,INBD,37,,12.33333333,,,FG,2,380.0,18000,Gasoline,,
68,4379,Sweden,Power,2003,Albin Marine,SPORTFISH CONVERTIBLE,INBD,37,,12.33333333,,,FG,2,370.0,18000,Diesel,,
69,4380,Sweden,Power,2003,Albin Marine,SPORTFISH CONVERTIBLE,INBD,37,,12.33333333,,,FG,1,450.0,18000,Diesel,,
70,4381,Sweden,Power,2003,Albin Marine,TOURNAMENT EXPRESS 35,INBD,37,,12.33333333,,,FG,1,450.0,18000,Diesel,,
71,4382,Sweden,Power,2003,Albin Marine,TOURNAMENT EXPRESS 35,INBD,37,,12.33333333,,,FG,2,370.0,18000,Diesel,,
72,4383,Sweden,Power,2003,Albin Marine,TOURNAMENT EXPRESS 35,INBD,37,,12.33333333,,,FG,2,380.0,18000,Gasoline,,
73,4384,Sweden,Power,2003,Albin Marine,COMMAND BRIDGE 45,INBD,48,,16.0,,,FG,2,480.0,36000,Diesel,,
74,4385,Sweden,Power,2002,Albin Marine,GATSBY EDITION 28,INBD,30,,10.0,,,FG,1,330.0,7500,Diesel,,
75,4386,Sweden,Power,2002,Albin Marine,GATSBY EDITION 28,INBD,30,,10.0,,,FG,1,380.0,7500,Gasoline,,
76,4387,Sweden,Power,2002,Albin Marine,TOURNAMENT EXPRESS 28,INBD,30,,10.0,,,FG,1,380.0,7500,Gasoline,,
77,4388,Sweden,Power,2002,Albin Marine,TOURNAMENT EXPRESS 28,INBD,30,,10.0,,,FG,1,330.0,7500,Diesel,,
78,4389,Sweden,Power,2002,Albin Marine,TOURNAMENT EXPRESS 31,INBD,30,,12.33333333,,,FG,2,380.0,14000,Gasoline,,
79,4390,Sweden,Power,2002,Albin Marine,TOURNAMENT EXPRESS 31,INBD,33,,12.33333333,,,FG,2,350.0,14000,Diesel,,
80,4391,Sweden,Power,2002,Albin Marine,TOURNAMENT EXPRESS 31,INBD,33,,12.33333333,,,FG,1,450.0,12000,Diesel,,
81,4392,Sweden,Power,2002,Albin Marine,COMMAND BRIDGE 32 + 2,INBD,37,,12.25,,,FG,1,370.0,15000,Diesel,,
82,4393,Sweden,Power,2002,Albin Marine,EXPRESS TRAWLER,INBD,37,,12.75,,,FG,1,450.0,20000,Diesel,,
83,4394,Sweden,Power,2002,Albin Marine,EXPRESS TRAWLER,INBD,37,,12.75,,,FG,2,330.0,20000,Diesel,,
84,4395,Sweden,Power,2002,Albin Marine,SPORTFISH CONVERTIBLE,INBD,37,,12.33333333,,,FG,1,450.0,18000,Diesel,,
85,4396,Sweden,Power,2002,Albin Marine,SPORTFISH CONVERTIBLE,INBD,37,,12.33333333,,,FG,2,370.0,18000,Diesel,,
86,4397,Sweden,Power,2002,Albin Marine,SPORTFISH CONVERTIBLE,INBD,37,,12.33333333,,,FG,2,380.0,18000,Gasoline,,
87,4398,Sweden,Power,2002,Albin Marine,TOURNAMENT EXPRESS 35,INBD,37,,12.33333333,,,FG,2,370.0,18000,Diesel,,
88,4399,Sweden,Power,2002,Albin Marine,TOURNAMENT EXPRESS 35,INBD,37,,12.33333333,,,FG,1,450.0,16000,Diesel,,
89,4400,Sweden,Power,2002,Albin Marine,TOURNAMENT EXPRESS 35,INBD,37,,12.33333333,,,FG,2,380.0,18000,Gasoline,,
90,4401,Sweden,Power,2001,Albin Marine,TOURNAMENT EXPRESS 28,INBD,30,,10.0,,,FG,1,300.0,7500,Diesel,,
91,4402,Sweden,Power,2001,Albin Marine,TOURNAMENT EXPRESS 28,INBD,30,,10.0,,,FG,1,380.0,7500,Gasoline,,
92,4403,Sweden,Power,2001,Albin Marine,TOURNAMENT EXPRESS 31,INBD,33,,12.33333333,,,FG,1,450.0,14000,Diesel,,
93,4404,Sweden,Power,2001,Albin Marine,TOURNAMENT EXPRESS 31,INBD,33,,12.33333333,,,FG,2,350.0,15000,Diesel,,
94,4405,Sweden,Power,2001,Albin Marine,COMMAND BRIDGE 32 + 2,INBD,37,,12.33333333,,,FG,1,370.0,15000,Diesel,,
95,4406,Sweden,Power,2001,Albin Marine,EXPRESS TRAWLER,INBD,37,,12.75,,,FG,1,450.0,20000,Diesel,,
96,4407,Sweden,Power,2001,Albin Marine,EXPRESS TRAWLER,INBD,37,,12.75,,,FG,2,300.0,20000,Diesel,,
97,4408,Sweden,Power,2001,Albin Marine,SPORTFISH CONVERTIBLE,INBD,37,,12.33333333,,,FG,2,370.0,19000,Diesel,,
98,4409,Sweden,Power,2001,Albin Marine,SPORTFISH CONVERTIBLE,INBD,37,,12.33333333,,,FG,1,450.0,18000,Diesel,,
99,4410,Sweden,Power,2001,Albin Marine,TOURNAMENT EXPRESS 35,INBD,37,,12.33333333,,,FG,2,370.0,19000,Diesel,,
100,4411,Sweden,Power,2001,Albin Marine,TOURNAMENT EXPRESS 35,INBD,37,,12.33333333,,,FG,1,450.0,18000,Diesel,,
101,4412,Sweden,Power,2000,Albin Marine,TOURNAMENT EXPRESS 28,INBD,30,,10.0,,,FG,1,300.0,7500,Diesel,,
102,4413,Sweden,Power,2000,Albin Marine,TOURNAMENT EXPRESS 31,INBD,33,,12.33333333,,,FG,1,420.0,14000,Diesel,,
