5470,370 EXPRESS,Cruisers Yachts,2004,40,35' to 44',13,USA
5471,375 MOTORYACHT,Cruisers Yachts,2004,41,35' to 44',14,USA
5472,400 EXPRESS,Cruisers Yachts,2004,43,35' to 44',14,USA
5473,405 EXPRESS MOTORYACHT,Cruisers Yachts,2004,43,35' to 44',14,USA
5474,455 EXPRESS MOTORYACHT,Cruisers Yachts,2004,46,45' to 54',15,USA
5475,440 EXPRESS,Cruisers Yachts,2004,47,45' to 54',14,USA
5476,540 EXPRESS,Cruisers Yachts,2004,58,55' to 64',16,USA
5477,2870 EXPRESS,Cruisers Yachts,2003,29,25' to 34',10,USA
5478,3075 EXPRESS,Cruisers Yachts,2003,33,25' to 34',10,USA
5479,3275 EXPRESS,Cruisers Yachts,2003,36,35' to 44',11,USA
5480,3372 EXPRESS,Cruisers Yachts,2003,36,35' to 44',12,USA
5481,3470 EXPRESS,Cruisers Yachts,2003,37,35' to 44',12,USA
5482,3772 EXPRESS,Cruisers Yachts,2003,40,35' to 44',13,USA
5483,3750 MOTORYACHT,Cruisers Yachts,2003,41,35' to 44',14,USA
5484,3870 EXPRESS,Cruisers Yachts,2003,43,35' to 44',14,USA
5485,3970 EXPRESS,Cruisers Yachts,2003,43,35' to 44',14,USA
5486,4050 EXPRESS MOTORYACHT,Cruisers Yachts,2003,43,35' to 44',14,USA
5487,4450 EXPRESS MOTORYACHT,Cruisers Yachts,2003,46,45' to 54',15,USA
5488,4270 EXPRESS,Cruisers Yachts,2003,47,45' to 54',14,USA
5489,4370 EXPRESS,Cruisers Yachts,2003,47,45' to 54',14,USA
5490,5000 SEDAN SPORT,Cruisers Yachts,2003,50,45' to 54',16,USA
5491,5470 EXPRESS,Cruisers Yachts,2003,58,55' to 64',16,USA
5492,2870 EXPRESS,Cruisers Yachts,2002,29,25' to 34',10,USA
5493,3075 EXPRESS,Cruisers Yachts,2002,33,25' to 34',10,USA
5494,3275 EXPRESS,Cruisers Yachts,2002,36,35' to 44',11,USA
5495,3372 EXPRESS,Cruisers Yachts,2002,36,35' to 44',12,USA
5496,3470 EXPRESS,Cruisers Yachts,2002,37,35' to 44',12,USA
5497,3572 EXPRESS,Cruisers Yachts,2002,38,35' to 44',13,USA
5498,3672 EXPRESS,Cruisers Yachts,2002,40,35' to 44',13,USA
5499,3750 MOTORYACHT,Cruisers Yachts,2002,41,35' to 44',14,USA
5500,3870 EXPRESS,Cruisers Yachts,2002,43,35' to 44',14,USA
5501,4450 EXPRESS MOTORYACHT,Cruisers Yachts,2002,46,45' to 54',15,USA
5502,4270 EXPRESS,Cruisers Yachts,2002,47,45' to 54',14,USA
5503,5000 SEDAN SPORT,Cruisers Yachts,2002,50,45' to 54',16,USA
5504,5370 EXPRESS,Cruisers Yachts,2002,58,55' to 64',16,USA
5505,2870 EXPRESS,Cruisers Yachts,2001,29,25' to 34',10,USA
5506,3075 EXPRESS,Cruisers Yachts,2001,32,25' to 34',10,USA
5507,3470 EXPRESS,Cruisers Yachts,2001,35,35' to 44',12,USA
5508,3572 EXPRESS,Cruisers Yachts,2001,36,35' to 44',13,USA
5509,3672 EXPRESS,Cruisers Yachts,2001,39,35' to 44',13,USA
5510,3750 MOTORYACHT,Cruisers Yachts,2001,39,35' to 44',14,USA
5511,3870 EXPRESS,Cruisers Yachts,2001,41,35' to 44',14,USA
5512,4270 EXPRESS,Cruisers Yachts,2001,44,35' to 44',14,USA
5513,4450 EXPRESS MOTORYACHT,Cruisers Yachts,2001,46,45' to 54',15,USA
5514,5000 SEDAN SPORT,Cruisers Yachts,2001,50,45' to 54',16,USA
5515,2870 EXPRESS,Cruisers Yachts,2000,29,25' to 34',10,USA
