9407,195 ID PREMIUM SOUND PKG,Scarab,2018,19,< 24',8,USA
9408,195 ID WAKE EDITION PKG,Scarab,2018,19,< 24',8,USA
9409,195 OPEN G,Scarab,2018,19,< 24',8,USA
9410,195 OPEN ID,Scarab,2018,19,< 24',8,USA
9411,195 OPEN ID FISHING PKG,Scarab,2018,19,< 24',8,USA
9412,195 OPEN ID PREM SND PKG,Scarab,2018,19,< 24',8,USA
9413,195 OPN ID BOW SEATING PK,Scarab,2018,19,< 24',8,USA
9414,195 OPN ID DIG SPD CTL PK,Scarab,2018,19,< 24',8,USA
9415,215 G,Scarab,2018,21,< 24',8,USA
9416,215 ID,Scarab,2018,21,< 24',8,USA
9417,215 ID DIG SPD CNTRL PKG,Scarab,2018,21,< 24',8,USA
9418,215 ID PREMIUM SOUND PKG,Scarab,2018,21,< 24',8,USA
9419,215 ID WAKE EDITION PKG,Scarab,2018,21,< 24',8,USA
9420,255 G,Scarab,2018,25,25' to 34',8,USA
9421,255 ID,Scarab,2018,25,25' to 34',8,USA
9422,255 ID DIG SPD CNTRL PKG,Scarab,2018,25,25' to 34',8,USA
9423,255 ID PREMIUM SOUND PKG,Scarab,2018,25,25' to 34',8,USA
9424,255 ID WAKE EDITION PKG,Scarab,2018,25,25' to 34',8,USA
9425,255 OPEN G,Scarab,2018,25,25' to 34',8,USA
9426,255 OPEN ID,Scarab,2018,25,25' to 34',8,USA
9427,255 OPEN ID FISHING PKG,Scarab,2018,25,25' to 34',8,USA
9428,255 OPEN ID PREM SOUND PK,Scarab,2018,25,25' to 34',8,USA
9429,255 OPN ID BOW SEATING PK,Scarab,2018,25,25' to 34',8,USA
9430,255 OPN ID DIG SPD CTL PK,Scarab,2018,25,25' to 34',8,USA
9431,165 G,Scarab,2017,16,< 24',7,USA
9432,165 HO,Scarab,2017,16,< 24',7,USA
9433,165 HO IMPULSE,Scarab,2017,16,< 24',7,USA
9434,165 HO IMPULSE PRM SND PK,Scarab,2017,16,< 24',7,USA
9435,165 HO PLATINUM PACKAGE,Scarab,2017,16,< 24',7,USA
9436,165 HO PREMIUM SOUND PKG,Scarab,2017,16,< 24',7,USA
9437,195,Scarab,2017,19,< 24',8,USA
9438,195 HO,Scarab,2017,19,< 24',8,USA
9439,195 HO IMPULSE,Scarab,2017,19,< 24',8,USA
9440,195 HO IMPULSE PRM SND PK,Scarab,2017,19,< 24',8,USA
9441,195 HO IMPULSE WAKE EDTN,Scarab,2017,19,< 24',8,USA
9442,195 HO PLATINUM PACKAGE,Scarab,2017,19,< 24',8,USA
9443,195 HO PREMIUM SOUND PKG,Scarab,2017,19,< 24',8,USA
9444,195 OPEN,Scarab,2017,19,< 24',8,USA
9445,195 OPEN FISH,Scarab,2017,19,< 24',8,USA
9446,195 OPEN FISH PREM SND PK,Scarab,2017,19,< 24',8,USA
9447,195 OPEN PREMIUM SOUND PK,Scarab,2017,19,< 24',8,USA
9448,215,Scarab,2017,21,< 24',8,USA
9449,215 HO,Scarab,2017,21,< 24',8,USA
9450,215 HO IMPULSE,Scarab,2017,21,< 24',8,USA
9451,215 HO IMPULSE PRM SND PK,Scarab,2017,21,< 24',8,USA
9452,215 HO IMPULSE WAKE EDTN,Scarab,2017,21,< 24',8,USA
9453,215 HO PLATINUM PACKAGE,Scarab,2017,21,< 24',8,USA
9454,215 HO PREMIUM SOUND PKG,Scarab,2017,21,< 24',8,USA
9455,255,Scarab,2017,25,25' to 34',8,USA
9456,255 HO,Scarab,2017,25,25' to 34',8,USA
9457,255 HO IMPULSE,Scarab,2017,25,25' to 34',8,USA
9458,255 HO IMPULSE PRM SND PK,Scarab,2017,25,25' to 34',8,USA
9459,255 HO IMPULSE WAKE EDTN,Scarab,2017,25,25' to 34',8,USA
9460,255 HO PLANTINUM PACKAGE,Scarab,2017,25,25' to 34',8,USA
9461,255 HO PREMIUM SOUND PKG,Scarab,2017,25,25' to 34',8,USA
